BIKE RIDE,E-Bike Tour Söll - Jochstubnsee,Söll,5,Equipment,All languages welcome,Romeo,"Sport und Bewegung bestimmen seitdem ich denken kann mein Leben. Im Mannschaftssport groß geworden kam ich zum Biken. Anfangs nur als Ausgleich zum harten Training, mit der Zeit nahm es Überhand. Die Natur vor der Haustür in Tirol hat mich niemals losgelassen. Mit einem Mountainbike fühle ich mich frei, es gibt kaum Grenzen. Man erreicht die schönsten Fleckchen der Erde und füllt die Zeit mit…+ More",$70 per person,Any experience can be canceled and fully refunded within 24 hours of purchase.,18,10,5.0,3 reviews,"https://maps.google.com/maps?ll=47.499011,12.195465&z=15&t=m&hl=en&gl=US&mapclient=apiv3",https://www.airbnb.com/experiences/312973?currentTab=experience_tab&federatedSearchId=182e143f-6970-4a9c-8731-2e4d388334fe&searchId=bd724406-0cb4-47b2-8d13-f53b2313a4e2&sectionId=d7213cb4-8d8d-4d78-b559-30ff2a404489&source=p2
BOAT RIDE,Kalymnos Adventure Day Sailing,Kalymnos,6,"Food, Drinks and Equipment",All languages welcome,Emmanouil,"Licensed charter skipper Emmanouil located in the Dodecanese island of Kalymnos. I have been sailing professionally for 30 years and can assure you the best possible service and professional courtesy. 
I am a Greek citizen born in Canada. I speak English, Greek and French.",$73 per person,Any experience can be canceled and fully refunded within 24 hours of purchase.,7,5,,,"https://maps.google.com/maps?ll=36.98837,26.929854&z=15&t=m&hl=en&gl=US&mapclient=apiv3",https://www.airbnb.com/experiences/727180?currentTab=experience_tab&federatedSearchId=182e143f-6970-4a9c-8731-2e4d388334fe&searchId=bd724406-0cb4-47b2-8d13-f53b2313a4e2&sectionId=d7213cb4-8d8d-4d78-b559-30ff2a404489&source=p2
NATURE WALK,Grand Canyon Private Tour,Flagstaff,9,"Food, 1 ticket and Transportation",All languages welcome,,"Stephen will delight you with knowledge and personal stories about experiences with Ingenious tribes gained from his work as a Forest Ranger for 9 years in which his role was to protect heritage sites. He's provided tours to the public for over 10 years. 

Melody is a dual-certified yoga and meditation teacher since 2013, and has enjoyed studying all things spiritual for longer than she can…+ More",$299 per person,Any experience can be canceled and fully refunded within 24 hours of purchase.,2,6,5.0,6 reviews,"https://maps.google.com/maps?ll=36.063004,-112.110422&z=15&t=m&hl=en&gl=US&mapclient=apiv3",https://www.airbnb.com/experiences/596511?currentTab=experience_tab&federatedSearchId=182e143f-6970-4a9c-8731-2e4d388334fe&searchId=bd724406-0cb4-47b2-8d13-f53b2313a4e2&sectionId=d7213cb4-8d8d-4d78-b559-30ff2a404489&source=p2
GUIDED HIKE,Sunrise Hike With Skyline View,Charlotte,3.5,"Food, Drinks and Equipment",Offered in English,LaVella,"I’m a marketer by day and dirtbagger by night, with an affinity for sacrificing sleep in favor of beautiful sunrises and unmatched views. 

I've been leading hikes since August of 2018 and am excited to share this experience with you.",$25 per person,Any experience can be canceled and fully refunded within 24 hours of purchase.,7,10,5.0,14 reviews,"https://maps.google.com/maps?ll=35.2285,-80.866882&z=15&t=m&hl=en&gl=US&mapclient=apiv3",https://www.airbnb.com/experiences/354917?currentTab=experience_tab&federatedSearchId=182e143f-6970-4a9c-8731-2e4d388334fe&searchId=bd724406-0cb4-47b2-8d13-f53b2313a4e2&sectionId=d7213cb4-8d8d-4d78-b559-30ff2a404489&source=p2
GUIDED HIKE,Alberni Valley Foodie Hikes,Port Alberni,4.5,Food,Offered in English,Genevieve,"I am a sustainable tourism and outdoor rec. professional with more than 10 years experience facilitating unique experiences in Canada. I have been fortunate enough to travel to over 22 countries, which has allowed me to develop and refine my skills in communications, risk assessment, team dynamics, and meaningful exploration.",$48 per person,Any experience can be canceled and fully refunded within 24 hours of purchase.,18,4,,,"https://maps.google.com/maps?ll=49.23555,-124.815539&z=15&t=m&hl=en&gl=US&mapclient=apiv3",https://www.airbnb.com/experiences/613864?currentTab=experience_tab&federatedSearchId=182e143f-6970-4a9c-8731-2e4d388334fe&searchId=bd724406-0cb4-47b2-8d13-f53b2313a4e2&sectionId=d7213cb4-8d8d-4d78-b559-30ff2a404489&source=p2
BIKE RIDE,Travesia en Bicis Eléctricas Asistidas,Merlo,4,Equipment,All languages welcome,Federico,"Fundé Norris Bikes hace algunos meses, inspirado en las bicicletas eléctricas que vi en una isla en Nueva Zelanda, donde vivi unos meses. Pude comprobar que es una alternativa perfecta para recorrer y disfrutar una ciudad o lugar.
Antes de esto trabaje muchos años en organización de eventos, pero siempre con la intención de trabajar en turismo, que es algo que me apasiona. Hoy puedo combinar mi…+ More",$20 per person,Any experience can be canceled and fully refunded within 24 hours of purchase.,10,8,,,"https://maps.google.com/maps?ll=-32.346231,-65.006627&z=15&t=m&hl=en&gl=US&mapclient=apiv3",https://www.airbnb.com/experiences/642091?currentTab=experience_tab&federatedSearchId=182e143f-6970-4a9c-8731-2e4d388334fe&searchId=bd724406-0cb4-47b2-8d13-f53b2313a4e2&sectionId=d7213cb4-8d8d-4d78-b559-30ff2a404489&source=p2
FISHING,Go fishing and eat fresh fish,Siboney,3,Food and Equipment,"Offered in English, German and Spanish",Andres,"I live since 10 years in our house ""Private Resort Villa Ruiz"", which is located only 200 meters from the sea. As often as possible I go fishing on the cliffs in front of our house to serve fresh fish for my family and our guests. I know the weather and the sea very well. Therefore I can estimate the chances of catching something. Sometimes I fish early in the morning and sometimes at night. Even…+ More",$18 per person,Any experience can be canceled and fully refunded within 24 hours of purchase.,18,2,5.0,1 review,"https://maps.google.com/maps?ll=19.959725,-75.713176&z=15&t=m&hl=en&gl=US&mapclient=apiv3",https://www.airbnb.com/experiences/414867?currentTab=experience_tab&federatedSearchId=182e143f-6970-4a9c-8731-2e4d388334fe&searchId=bd724406-0cb4-47b2-8d13-f53b2313a4e2&sectionId=d7213cb4-8d8d-4d78-b559-30ff2a404489&source=p2
NATURE WALK,Olympus walking !!,Λιτόχωρο,6,Food,All languages welcome,Virginia,"Η ανάβαση στο πρώτο καταφύγιο του Ολύμπου θα είναι συναρπαστική. Στο καταφύγιο Πετροστρουγκα! Η ορειβασία είναι το χόμπι μου εδώ και 10 χρόνια. Μου αρέσει η φύση και άθληση. Είμαι γυμνάστρια με μεταπτυχιακές σπουδές. Στοιχεια του χαρακτήρα μου είναι η υπομονή και η επιμονή.
Το καλοκαίρι μένω στην Λεπτοκαρυά όπου διαθέτω σπίτι.",$76 per person,Any experience can be canceled and fully refunded within 24 hours of purchase.,16,4,,,"https://maps.google.com/maps?ll=40.104012,22.5023&z=15&t=m&hl=en&gl=US&mapclient=apiv3",https://www.airbnb.com/experiences/881871?currentTab=experience_tab&federatedSearchId=182e143f-6970-4a9c-8731-2e4d388334fe&searchId=bd724406-0cb4-47b2-8d13-f53b2313a4e2&sectionId=d7213cb4-8d8d-4d78-b559-30ff2a404489&source=p2
GUIDED HIKE,Hiking-Wildlife Viewing @ El Aribabi,Cajón,5,Food and Drinks,All languages welcome,German,My passion is to hike canyons and track wildlife roaming around us. I have been hiking the land all my life and there is always something new that surprises me. I was born and raised in the Sonoran Desert. My family owns a piece of land in the Sky Island region and we do cattle ranching and ecotourism. El Aribabi Conservation Ranch is part of a natural corridor of migration. Biodiversity in the…+ More,$22 per person,Any experience can be canceled and fully refunded within 24 hours of purchase.,15,10,,,"https://maps.google.com/maps?ll=30.867826,-110.654748&z=15&t=m&hl=en&gl=US&mapclient=apiv3",https://www.airbnb.com/experiences/646866?currentTab=experience_tab&federatedSearchId=182e143f-6970-4a9c-8731-2e4d388334fe&searchId=bd724406-0cb4-47b2-8d13-f53b2313a4e2&sectionId=d7213cb4-8d8d-4d78-b559-30ff2a404489&source=p2
BIKE RIDE,Mountain Bike Steamboat,Steamboat Springs,4,Food,Offered in English,Bill,"I am a mountain bike enthusiast who loves the outdoors. I have lived in Steamboat Springs for over 25 years. I enjoy riding all of the technical trails around Steamboat, but I also enjoy being out in the forest on mellow single track. We can make your experience fit your riding style and ability level. I also have mechanical skills that come in handy on the trails.",$75 per person,Any experience can be canceled and fully refunded within 24 hours of purchase.,18,4,,,"https://maps.google.com/maps?ll=40.505347,-106.868268&z=15&t=m&hl=en&gl=US&mapclient=apiv3",https://www.airbnb.com/experiences/828284?currentTab=experience_tab&federatedSearchId=182e143f-6970-4a9c-8731-2e4d388334fe&searchId=bd724406-0cb4-47b2-8d13-f53b2313a4e2&sectionId=d7213cb4-8d8d-4d78-b559-30ff2a404489&source=p2
